year,spring,summer,autumn,winter
1970,21,21,23,22
1971,21,22,23,22
1972,20,21,22,21
1973,20,21,23,22
1974,21,21,23,22
1975,21,22,23,22
1976,20,21,22,21
1977,20,21,23,21
1978,20,21,23,22
1979,21,21,23,22
1980,20,21,22,21
1981,20,21,23,21
1982,20,21,23,22
1983,21,21,23,22
1984,20,21,22,21
1985,20,21,23,21
1986,20,21,23,22
1987,21,21,23,22
1988,20,21,22,21
1989,20,21,23,21
1990,20,21,23,22
1991,21,21,23,22
1992,20,21,22,21
1993,20,21,23,21
1994,20,21,23,22
1995,21,21,23,22
1996,20,21,22,21
1997,20,21,22,21
1998,20,21,23,22
1999,21,21,23,22
2000,20,21,22,21
2001,20,21,22,21
2002,20,21,23,22
2003,21,21,23,22
2004,20,21,22,21
2005,20,21,22,21
2006,20,21,23,22
2007,21,21,23,22
2008,20,21,22,21
2009,20,21,22,21
2010,20,21,23,21
2011,20,21,23,22
2012,20,20,22,21
2013,20,21,22,21
2014,20,21,23,21
2015,20,21,23,22
2016,20,20,22,21
2017,20,21,22,21
2018,20,21,23,21
2019,20,21,23,22
2020,20,20,22,21
2021,20,21,22,21
2022,20,21,23,21
2023,20,21,23,22
2024,20,20,22,21
2025,20,21,22,21
2026,20,21,23,21
2027,20,21,23,22
2028,20,20,22,21
2029,20,21,22,21
2030,20,21,22,21
2031,20,21,23,22
2032,20,20,22,21
2033,20,21,22,21
2034,20,21,22,21
2035,20,21,23,22
2036,20,20,22,21
2037,20,21,22,21
2038,20,21,22,21
2039,20,21,23,22
2040,20,20,22,21
2041,20,20,22,21
2042,20,21,22,21
2043,20,21,23,22
2044,19,20,22,21
2045,20,20,22,21
2046,20,21,22,21
2047,20,21,23,22
2048,19,20,22,21
2049,20,20,22,21
2050,20,21,22,21
