dte,name
1970-01-01,New Year's Day
1970-02-14,Valentine's Day
1970-03-01,St. David's Day
1970-03-08,Mother's day
1970-03-27,Good Friday
1970-03-30,Easter Monday
1970-04-23,St. George's Day
1970-05-04,Early May Bank Holiday (May Day)
1970-05-25,Late May Bank Holiday
1970-06-21,Father's Day
1970-08-31,August Bank Holiday
1970-10-31,Halloween
1970-11-05,Guy Fawkes Day
1970-12-25,Christmas Day
1970-12-26,Boxing Day
1970-12-28,Substitute day for Boxing Day
1971-01-01,New Year's Day
1971-02-14,Valentine's Day
1971-03-01,St. David's Day
1971-03-21,Mother's day
1971-04-09,Good Friday
1971-04-12,Easter Monday
1971-04-23,St. George's Day
1971-05-03,Early May Bank Holiday (May Day)
1971-05-31,Late May Bank Holiday
1971-06-20,Father's Day
1971-08-30,August Bank Holiday
1971-10-31,Halloween
1971-11-05,Guy Fawkes Day
1971-12-25,Christmas Day
1971-12-26,Boxing Day
1971-12-27,Substitute day for Christmas Day
1971-12-28,Substitute day for Boxing Day
1972-01-03,New Year's Day
1972-02-14,Valentine's Day
1972-03-01,St. David's Day
1972-03-12,Mother's day
1972-03-31,Good Friday
1972-04-03,Easter Monday
1972-04-23,St. George's Day
1972-05-01,Early May Bank Holiday (May Day)
1972-05-29,Late May Bank Holiday
1972-06-18,Father's Day
1972-08-28,August Bank Holiday
1972-10-31,Halloween
1972-11-05,Guy Fawkes Day
1972-12-25,Christmas Day
1972-12-26,Boxing Day
1973-01-01,New Year's Day
1973-02-14,Valentine's Day
1973-03-01,St. David's Day
1973-04-01,Mother's day
1973-04-20,Good Friday
1973-04-23,St. George's Day
1973-04-23,Easter Monday
1973-05-07,Early May Bank Holiday (May Day)
1973-05-28,Late May Bank Holiday
1973-06-17,Father's Day
1973-08-27,August Bank Holiday
1973-10-31,Halloween
1973-11-05,Guy Fawkes Day
1973-11-14,Wedding of Princess Anne and Mark Phillips
1973-12-25,Christmas Day
1973-12-26,Boxing Day
1974-01-01,New Year's Day
1974-02-14,Valentine's Day
1974-03-01,St. David's Day
1974-03-24,Mother's day
1974-04-12,Good Friday
1974-04-15,Easter Monday
1974-04-23,St. George's Day
1974-05-06,Early May Bank Holiday (May Day)
1974-05-27,Late May Bank Holiday
1974-06-16,Father's Day
1974-08-26,August Bank Holiday
1974-10-31,Halloween
1974-11-05,Guy Fawkes Day
1974-12-25,Christmas Day
1974-12-26,Boxing Day
1975-01-01,New Year's Day
1975-02-14,Valentine's Day
1975-03-01,St. David's Day
1975-03-09,Mother's day
1975-03-28,Good Friday
1975-03-31,Easter Monday
1975-04-23,St. George's Day
1975-05-05,Early May Bank Holiday (May Day)
1975-05-26,Late May Bank Holiday
1975-06-15,Father's Day
1975-08-25,August Bank Holiday
1975-10-31,Halloween
1975-11-05,Guy Fawkes Day
1975-12-25,Christmas Day
1975-12-26,Boxing Day
1976-01-01,New Year's Day
1976-02-14,Valentine's Day
1976-03-01,St. David's Day
1976-03-28,Mother's day
1976-04-16,Good Friday
1976-04-19,Easter Monday
1976-04-23,St. George's Day
1976-05-03,Early May Bank Holiday (May Day)
1976-05-31,Late May Bank Holiday
1976-06-20,Father's Day
1976-08-30,August Bank Holiday
1976-10-31,Halloween
1976-11-05,Guy Fawkes Day
1976-12-25,Christmas Day
1976-12-26,Boxing Day
1976-12-27,Substitute day for Christmas Day
1976-12-28,Substitute day for Boxing Day
1977-01-03,New Year's Day
1977-02-14,Valentine's Day
1977-03-01,St. David's Day
